,2011,2002,2003,1999,1993,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1994,1995,1996,1997,1998,2000,2001,2004,2005,2006,2007,2008,2009,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
FB - MUNICIPALITY / ACTUAL AMOUNT,32221.0,32720.0,32697.0,33298.0,33745.0,33015.0,33165.0,33402.0,33496.0,33576.0,33623.0,33687.0,33704.0,33746.0,33701.0,33772.0,33748.0,33613.0,33452.0,33369.0,33326.0,33209.0,33131.0,32664.0,32656.0,32571.0,32549.0,32570.0,32601.0,32717.0,32254.0,32559.0,32670.0,32696.0,32565.0,31798.0,31713.0,32620.0,32552.0,32777.0,32775.0
 ETF - COMMON / ACTUAL AMOUNT,25069.0,29602.0,29555.0,29785.0,31794.0,32450.0,32466.0,32510.0,32565.0,32577.0,32475.0,32383.0,32458.0,32385.0,32145.0,31982.0,31465.0,30855.0,30557.0,30231.0,29923.0,30032.0,30153.0,29475.0,29238.0,27670.0,27258.0,27038.0,26612.0,27199.0,24773.0,24761.0,24639.0,24213.0,23826.0,22807.0,22313.0,29763.0,29862.0,17964.0,20730.0
TH - MUNICIPALITY / ACTUAL AMOUNT INCLUDING THP/E FOR THE BENEFIT OF THE STATE,33673.0,32465.0,32430.0,32996.0,33364.0,32875.0,33014.0,33179.0,33312.0,33395.0,33434.0,33499.0,33543.0,33580.0,33597.0,33347.0,33323.0,33193.0,33250.0,33123.0,33052.0,32924.0,32838.0,32508.0,32538.0,32485.0,32476.0,32542.0,32574.0,32661.0,33675.0,33902.0,33877.0,33900.0,33750.0,32732.0,32623.0,,,23902.0,19836.0
FB - GFP / REAL AMOUNT,10645.0,7330.0,7667.0,7105.0,1713.0,450.0,465.0,525.0,555.0,616.0,674.0,736.0,791.0,876.0,1110.0,1410.0,2630.0,3332.0,4394.0,5542.0,6333.0,7184.0,7504.0,8071.0,8525.0,9276.0,9550.0,9703.0,10483.0,12006.0,11194.0,11814.0,12458.0,13426.0,14146.0,14007.0,14595.0,23904.0,25003.0,12675.0,17363.0
CFE - INTERCOMMUNALITY / REAL NET PRODUCT / SINGLE FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005.0,13835.0
CFE - INTERCOMMUNALITY / REAL NET PRODUCT / SINGLE FP OR IN ZAE,10092.0,7872.0,9431.0,,,,,,,,,,,,,,,,,,,,,10482.0,11231.0,11818.0,12420.0,12864.0,13447.0,12347.0,10535.0,11492.0,11969.0,12530.0,12979.0,14669.0,15337.0,20895.0,21557.0,10681.0,13371.0
TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,30707.0,5893.0,6314.0,5998.0,1515.0,536.0,559.0,583.0,647.0,684.0,740.0,764.0,795.0,863.0,1161.0,1218.0,2262.0,2804.0,3748.0,4635.0,5180.0,6241.0,6418.0,6858.0,7373.0,8244.0,8648.0,8939.0,9504.0,11208.0,31048.0,31997.0,32569.0,32788.0,32588.0,32149.0,32095.0,,,16573.0,11778.0
FNB - CHAMBER OF AGRICULTURE / ACTUAL AMOUNT,11401.0,19345.0,19187.0,21783.0,23378.0,25700.0,25599.0,25428.0,25373.0,25110.0,24842.0,24597.0,24489.0,24197.0,23910.0,23688.0,22869.0,22540.0,22719.0,22265.0,21885.0,22200.0,22478.0,18763.0,18347.0,18256.0,17839.0,17370.0,16665.0,16983.0,10939.0,10467.0,10236.0,9329.0,8867.0,8216.0,7664.0,22393.0,22989.0,6459.0,8709.0
TH - MUNICIPALITY / REAL COMMUNAL AMOUNT FOR THE BENEFIT OF THE COMMUNITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5069.0,5203.0
 ETF - GFP / ACTUAL AMOUNT,2816.0,3792.0,4026.0,3891.0,700.0,128.0,123.0,120.0,136.0,143.0,147.0,137.0,134.0,173.0,271.0,369.0,1325.0,1785.0,2425.0,3101.0,3438.0,4194.0,4397.0,4055.0,4069.0,3029.0,3031.0,2988.0,3025.0,3375.0,2794.0,2824.0,2788.0,2811.0,2877.0,2696.0,2701.0,9882.0,11210.0,3560.0,4865.0
TH - COMMUNITY / REAL COMMUNAL AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9895.0,4392.0
year,3078.0,8059.0,8092.0,2891.0,3403.0,5409.0,5153.0,4774.0,4471.0,4261.0,4462.0,4339.0,4241.0,4000.0,3783.0,3533.0,3140.0,2911.0,3438.0,3181.0,2943.0,2873.0,2822.0,7702.0,7367.0,7114.0,6696.0,6339.0,5788.0,6520.0,2837.0,2633.0,2505.0,2339.0,2283.0,2116.0,1989.0,8721.0,3673.0,2056.0,2931.0
TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT FOR THE BENEFIT OF THE GROUP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2954.0,2774.0
CFE - COMMON / REAL NET PRODUCT,4980.0,14576.0,13081.0,21892.0,28302.0,27388.0,27336.0,27612.0,27818.0,27964.0,27569.0,27680.0,27866.0,28123.0,28306.0,28537.0,27911.0,27577.0,23804.0,23324.0,23117.0,20001.0,18211.0,11876.0,11140.0,10750.0,10339.0,10204.0,9876.0,5575.0,4741.0,4320.0,3426.0,3274.0,2950.0,1487.0,1239.0,1751.0,1786.0,870.0,1033.0
