,unique,null,dtypes,dupe,outliers,count,mean,std,min,max
year,41,0,int64,34969,0,1528922,2002.3130310113922,11.95787585859405,1982.0,2022.0
FB - MUNICIPALITY / ACTUAL AMOUNT,488363,0,float64,34969,15290,1528922,668316.9465688897,8556675.605679875,0.0,2490787020.0
FB - O.M. REMOVAL TAX / FULL RATE - SMOOTH NET AMOUNT,298405,0,float64,34969,15290,1528922,227005.04565111888,5633567.284998682,0.0,2034913485.0
FB - TASA / ACTUAL AMOUNT,7317,0,float64,34969,11408,1528922,325.75964110660976,40901.243304351665,0.0,16797267.0
FB - TSE / ACTUAL AMOUNT,37997,0,float64,34969,15290,1528922,2655.9658831516585,179506.06311065436,0.0,110103366.0
FB - TSE OTHERS / REAL NET AMOUNT,8278,0,float64,34969,13307,1528922,320.59755304717964,35295.83436822244,0.0,13987025.0
FB - UNION AND ORG. ASSIMILES / ACTUAL AMOUNT,61354,0,float64,34969,15290,1528922,7566.677372030751,149161.39331877866,0.0,39981386.0
FNB - CAAA / PROPORTIONAL RIGHT - ACTUAL AMOUNT,35658,0,float64,34969,15289,1528922,1094.0837537820764,8918.307008532996,0.0,652647.0
FNB - CHAMBER OF AGRICULTURE / ACTUAL AMOUNT,125673,0,float64,34969,15290,1528922,20864.79713157375,36892.23432105924,0.0,3324146.0
FNB - TSE GRAND PARIS OR EPFL GUADELOUPE OR EPFL MARTINIQUE / ACTUAL AMOUNT,1302,0,float64,34969,12485,1528922,2.0606119867462174,127.7881345667143,0.0,65231.0
TH - COMMUNITY / REAL COMMUNAL AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,32298,0,float64,34969,15290,1528922,3891.336128330942,321692.8128303165,0.0,311542429.0
TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,177302,0,float64,34969,15290,1528922,69482.64501328387,1166173.5273624083,0.0,251327149.0
TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT FOR THE BENEFIT OF THE GROUP,24773,0,float64,34969,15290,1528922,1060.6043539173352,34504.516482099934,0.0,9849371.0
TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,28096,0,float64,34969,15290,1528922,1620.6615805122824,64735.85291207554,0.0,34165384.0
TH - MUNICIPALITY / ACTUAL AMOUNT INCLUDING THP/E FOR THE BENEFIT OF THE STATE,448624,0,float64,34969,15290,1528922,534419.5669811802,8502092.674918216,0.0,2316175858.0
TH - MUNICIPALITY / REAL COMMUNAL AMOUNT FOR THE BENEFIT OF THE COMMUNITY,29019,0,float64,34969,15290,1528922,2299.345411342109,170502.03660842913,0.0,128113318.0
