year, EPT SIREN NUMBER, ETF - COMMON / ACTUAL AMOUNT, FNB - UNION AND SIMILAR ORGANIZATIONS / ACTUAL AMOUNT, ETF - GFP / ACTUAL AMOUNT,TAFNB - MUNICIPALITY / REAL NET AMOUNT,ETF - TSE / ACTUAL AMOUNT,FNB - TSE GRAND PARIS OR EPFL GUADELOUPE OR EPFL MARTINIQUE / ACTUAL AMOUNT, FNB - GEMAPI / REAL INTER-COMMUNALITY AMOUNT,FNB - CHAMBER OF AGRICULTURE / ACTUAL AMOUNT,FNB - CAAA / PROPORTIONAL RIGHT - ACTUAL AMOUNT,FB - MUNICIPALITY / ACTUAL AMOUNT,FB - UNION AND ORG. ASSIMILES / ACTUAL AMOUNT,FB - GFP / REAL AMOUNT,FB - TSE / ACTUAL AMOUNT,FB - TSE OTHERS / REAL NET AMOUNT,FB - GEMAPI / REAL INTER-COMMUNALITY AMOUNT,FB - TASA / ACTUAL AMOUNT,TH - MUNICIPALITY / ACTUAL AMOUNT INCLUDING THP/E FOR THE BENEFIT OF THE STATE,TH - COMMUNITY / REAL COMMUNAL AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,TH - MUNICIPALITY / REAL COMMUNAL AMOUNT FOR THE BENEFIT OF THE COMMUNITY,TH - UNION AND ORG.ASSIMILES / ACTUAL AMOUNT,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT OF THP/E FOR THE BENEFIT OF THE STATE,TH - INTERCOMMUNALITY / ACTUAL INTERCOMMUNALITY AMOUNT FOR THE BENEFIT OF THE GROUP,TH - TSE / ACTUAL AMOUNT,TH - TSE GRAND PARIS OR EPFL GUADELOUPE OR EPFL MARTINIQUE / ACTUAL AMOUNT,TH - REAL INTERCOMMUNAL AMOUNT GEMAPI TAX,CFE - COMMON / REAL NET PRODUCT,CFE - INTERCOMMUNALITY / REAL NET PRODUCT / SINGLE FP OR IN ZAE,CFE - INTERCOMMUNALITY / REAL NET PRODUCT / SINGLE FP,CFE - INTERCOMMUNALITY / REAL NET PRODUCT / FPZ IN ZAE,CFE - INTERCOMMUNALITY / REAL NET PRODUCT / FPE IN WIND ZONE,CFE - TSE / REAL NET PRODUCT,CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / ADDITIONAL TAXATION,CFE - GEMAPI / REAL INTERCOMMUNAL NET PRODUCT / SINGLE FP OR IN ZAE,CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / SINGLE FP,CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / FPZ IN ZAE,CFE - GEMAPI / REAL NET INTERCOMMUNAL PRODUCT / FPE IN WIND ZONE,CFE - TASA / REAL NET PRODUCT,CFE - CHAMBER OF COMMERCE AND INDUSTRY / REAL NET PRODUCT, CFE - CHAMBER OF TRADE / ADDITIONAL DUTY / NET PRODUCT, IFER TOTAL / MUNICIPALITY, IFER TOTAL / INTERCOMMUNALITY,DCRTP / Municipality,TOTAL_TAX_SUM
1982.0,,462682487.2441219,11272392.911389934,3929890.0556987487,,1283415.2465470573,,,116953313.96652952,8714057.89943423,1573865895.1255703,20353514.97425189,76220198.91255768,18758851.575269554,,,,2187833460.6341577,,,25933288.675116353,117716586.4308046,,,31800801.987570215,,,4753239172.047027,,,,,65706326.680702545,,,,,,,346784099.68226385,18650737.112182956,,,,1500726291.9170096
1983.0,,517699818.0988378,13061879.789696699,4596863.321915652,,1413820.493181032,,,132796728.15786989,9192808.217559218,1894806157.0089588,26279117.871617638,91073986.76142585,21316538.367055472,,,,2576296381.6322675,,,33487449.673732232,138838684.3646581,,,35171411.76741476,,,5016734368.493114,,,,,74194798.16656315,,,,,,,394619030.2864139,21226158.542973064,,,,1677779528.1389089
1983.9999999999998,,570522490.9220966,14001653.716241201,5144959.77939471,,1717856.6434638104,,,146064486.08918905,9580657.665184448,2593186237.5736833,35068630.52014522,124087614.93861578,25782739.045102004,,,,2996218498.382957,,,38912859.14195534,160892607.10309628,,,41542350.76564241,,,5797757674.07441,,,,,79175179.86165509,,,,,,,431698644.8676013,22968287.379743416,,,,1996707729.0183783
1985.0,,620936648.5629594,14983100.072171867,5846023.235589987,,1703821.784741803,,,159026114.5353652,10052790.831046926,2942468528.6896515,39208184.80511537,140456505.73799127,31788218.49548571,,,,3335126234.8929706,,,42501033.93480622,178665990.185663,,,42087010.78704847,,,6331717507.296861,,,,,80304978.21196449,,,,,,,462605644.1053212,24261491.19306516,,,,2205525261.5041265
1986.0,,660262538.0129818,15898151.055275293,6537440.394927871,,1711853.859365043,,,168236964.4997672,10641662.029805928,3269475768.139376,42643820.323921,158062784.9496421,33953224.91440551,,,,3625353930.500002,,,45070851.33373091,196727920.90585527,,,43990866.51528822,,,6819848603.764861,,,,,83804857.51888889,,,,,,,505853056.3710619,25468090.748383988,,,,2396103296.4744263
1987.0,,661842118.6659199,16727744.47895892,6891392.3955280585,,1737413.496306853,,,172970895.2041009,11342302.488412168,3534605430.1667423,51241405.66947908,174821455.6759064,36079106.19115069,,,,3848155651.52379,,,52738218.01515319,210487046.65187648,,,45552110.05500646,,,6160238487.992526,,,,,87495025.96616599,,,,,,,548760597.088392,27003201.60684189,,,,2386214121.7657046
1988.0000000000002,,663895314.8061203,16776363.126504185,6972174.565950951,,1923564.9151099953,,,178093671.85542694,11522749.23425085,3840611653.751313,56610741.57698808,193424869.66596457,44282429.42123591,,,,4011359813.8871603,,,56491468.4558011,221269069.6203101,,,54479889.84984195,,,6495057084.0888405,,,,,91151179.24682947,,,,,,,585907059.9273524,28856452.39820877,,,,2524976231.224634
1989.0,,663576314.6967875,16977296.282973494,7353522.446091061,,323601.38988407515,,,184904460.94721267,11441159.0377918,4051645388.190255,60145044.40940982,209729457.81742698,3472812.0358215217,,,,4204088087.341835,,,60027141.83700808,236523796.66411352,,,3355853.9648857107,,,6969994590.083467,,,,,5942635.031001271,,,,,,,628714254.7595234,30737562.323144235,,,,2645481356.3520823
1990.0,,681274372.9487705,17683319.210540723,8652081.58577435,,305378.64154949476,,,192122921.0560545,11609733.336159417,4390655169.590163,72962515.91768596,237208597.891081,3423738.368519342,,,,4497482325.669412,,,70486731.91971219,264041878.4386662,,,3356465.5882922076,,,7794984011.484064,,,,,6015737.5231341105,,,,,,,671606584.4896513,32159812.423289753,,,,2890539138.344841
1990.9999999999998,,691777722.2388009,18122538.16241857,10926999.063885292,,271268.6283243394,,,200091520.42320496,11625225.508492965,4769444790.656602,86887552.32765326,285022643.48485357,3439922.524652113,,,,4815349370.8482685,,,83003572.30155672,310036994.7530916,,,3362379.1677804533,,,8570406302.145622,,,,,6216282.906399051,,,,,,,708515493.7734419,33574111.114177786,,,,3142453463.788986
