,mun_name,year,TH - INTERCOMMUNALITY / ACTUAL AMOUNT OF WHICH THP/E FOR THE BENEFIT OF THE STATE,yr_growth
681,ALLEMOND,2011,12969.0,1296800.0
7029,BOIS-D'ARCY,2011,1488539.0,740466.6666666667
34709,LIVET-ET-GAVET,2011,9348.0,311500.0
5295,BELLEGARDE,2011,796343.0,306185.7692307692
10837,CASTRES,2011,4795396.0,277411.3425925926
44353,OZ,2011,6798.0,226500.0
57285,SAINT-VALLIER,2011,1171872.0,201946.89655172414
64365,VAUJANY,2011,5999.0,199866.6666666667
40865,MONTREUIL,2011,12296198.0,193114.9277184161
20059,EVRY,2011,6018673.0,192559.18693982073
28879,LA MONTAGNE,2011,465961.0,184074.30830039526
37541,MASSY,2011,5371678.0,158030.05593170444
43583,OLLAINVILLE,2011,565040.0,128904.56621004567
22037,FRESNES,2011,3129391.0,127734.59967320261
3025,AURIS,2011,26397.0,125600.0
67205,VITROLLES,2011,3275773.0,122818.3114446529
52003,SAINT-DENIS,2011,8684215.0,115212.90665250299
60527,SORBIERS,2011,1218811.0,110499.90925589837
38345,MERIGNAC,2011,8284288.0,108789.16929547845
59145,SCEAUX,2011,3970185.0,105209.94694960212
20785,FIXEM,2011,21250.0,96490.90909090909
56425,SAINT-PRIEST,2011,3362009.0,94047.54970596472
65879,VILLARD-RECULAS,2011,4599.0,91880.0
3433,AVON,2011,1853849.0,89414.67889908257
12737,CHATEAUBOURG,2011,692697.0,87141.43576826196
49403,ROCHEFORT,2011,2281469.0,84649.96285289747
50925,SAINT-ANDRE-DES-EAUX,2011,469811.0,74354.99207606973
49495,RODEMACK,2011,68112.0,73934.78260869565
68239,ZOUFFTGEN,2011,63775.0,70761.11111111111
24789,HAGEN,2011,25951.0,70037.83783783784
39479,MONDORFF,2011,37754.0,69814.81481481482
22697,GAVISSE,2011,34867.0,68266.66666666666
31567,LE BOURG-D'OISANS,2011,47644.0,65165.75342465753
20903,FLERS,2011,1868660.0,65078.23508894314
47785,PUTTELANGE-LES-THIONVILLE,2011,54866.0,64448.23529411765
32589,LE PONTET,2011,1542743.0,63676.064489458455
36155,MAINVILLIERS,2011,1126402.0,61452.0218579235
35535,LUCE,2011,1815646.0,61177.28653391832
6263,BEYREN-LES-SIERCK,2011,30961.0,58316.98113207547
4367,BASSE-RENTGEN,2011,30660.0,54650.0
50107,ROUSSY-LE-VILLAGE,2011,92178.0,53805.26315789474
10865,CATTENOM,2011,215539.0,52470.48780487805
67389,VOLMERANGE-LES-MINES,2011,156284.0,51994.66666666667
37971,MEILHAN,2011,68509.0,51800.757575757576
8615,BREISTROFF-LA-GRANDE,2011,46180.0,51787.6404494382
53845,SAINT-JEANNET,2011,574095.0,51067.11229946524
20045,EVRANGE,2011,15799.0,50864.51612903226
10057,CAMON,2011,754408.0,50565.41302887844
5621,BERG-SUR-MOSELLE,2011,32580.0,50023.07692307692
8187,BOUST,2011,92306.0,48739.15343915344
63517,USSEL,2011,972040.0,48236.15116857285
39653,MONT-DE-LANS,2011,121736.0,47453.125
31653,LE CASTELLET,2011,600416.0,46917.69772905247
64811,VENOSC,2011,62006.0,46173.13432835821
19367,ESCHERANGE,2011,53327.0,45478.63247863248
25603,HETTANGE-GRANDE,2011,724673.0,45050.96573208723
15073,CONTRES,2011,306947.0,44128.67435158502
